#         t          m          x          y          z         vx         vy         vz
    400.000      0.008     -0.674     -0.358      0.741    180.407     89.882     87.429
    400.000      0.008     -1.558      7.447     -1.544    208.367      9.332    -30.260
    400.000      0.008     -0.207     14.102     -5.674     68.188    -93.148     -7.750
    400.000      0.008     -1.786      2.882     -1.580    119.896    -69.140    -19.197
    400.000      0.008     26.180      6.239      3.003    -24.605    -95.711     90.929
    400.000      0.008     -0.702      0.179      0.262   -105.405    -18.386    168.852
    400.000      0.008     -1.320    -15.917      5.921   -153.911    -26.625    -23.218
    400.000      0.008      3.171      4.401     -1.361    226.272    -38.243    112.438
    400.000      0.008     -1.745     -0.361      0.468    -49.519   -110.313   -120.691
    400.000      0.008    -11.854     18.216     -9.436    134.577     84.718     29.856
    400.000      0.008     11.477     18.175     -6.970    127.463    -87.012     48.926
    400.000      0.008     -2.188      1.389     -0.703    180.475    255.915    -94.061
    400.000      0.008      1.138      4.486     -1.802    199.278     25.837    103.221
    400.000      0.008     -0.474      0.802     -0.245   -180.003   -179.366    -40.698
    400.000      0.008     -0.794      0.865      0.740     58.829    -31.547    126.214
    400.000      0.008     -5.191      7.200     -2.065     31.847    144.263    -51.752
    400.000      0.008     -2.300     -0.539      0.048    -66.386    304.290    -84.357
    400.000      0.008      2.076      4.665      1.186     51.914    -63.402    135.081
    400.000      0.008      2.820     -0.085     -0.103    101.024   -228.930    -29.539
    400.000      0.008    -13.628      5.354     -1.747     73.459    182.819    -78.910
    400.000      0.008     -0.915     -7.710      4.786   -141.575    -40.823     13.456
    400.000      0.008      4.709    -21.503     -3.053   -128.802    -30.719    -42.550
    400.000      0.008     17.194      1.361      5.282    -80.780   -123.570     72.469
    400.000      0.008     27.546     -1.724      6.109    -13.875   -117.809     35.895
    400.000      0.008     -0.335      0.785      0.488    242.201    104.053   -140.594
    400.000      0.008      0.032     -4.135      2.057   -235.035    -86.362    -77.702
    400.000      0.008      0.079    -16.624      1.086   -204.414      4.758    -45.156
    400.000      0.008     -7.254     -2.099      1.763    -57.520    127.199   -143.062
    400.000      0.008     -1.057      0.449      0.902    -70.480    -31.353    -70.886
    400.000      0.008     16.680     -4.294      8.520    -34.983   -147.564     51.704
    400.000      0.008     -0.091      0.443     -0.249    208.243    236.311    150.583
    400.000      0.008      1.861     21.432     -7.662    172.536      1.748     61.991
    400.000      0.008     -0.568      0.348     -0.312   -160.488    218.101   -119.094
    400.000      0.008     -7.814    -13.061      3.915   -101.730     40.541    -82.191
    400.000      0.008     -1.054      0.485      0.107     45.576    -15.001    -77.102
